,OBSERVED,,,,,,,,,,,EXPECTED,,,,,,,,
,,01- Homicide,02 - Sexual Assult,03 - Robbery,"04 - Assault, Aggravated",05 - Burglary,06 - Larceny,07 - GTA,08 - Arson,,,,01- Homicide,02 - Sexual Assult,03 - Robbery,"04 - Assault, Aggravated",05 - Burglary,06 - Larceny,07 - GTA,08 - Arson
,,8.229853464,13.21480861,56.25270162,53.91925387,1.528733692,31.43515742,17.96049028,3.665930309,,,,,,,,,,,
,,6.341752939,9.731121139,91.52551312,85.81546106,0.9641169048,57.89368098,56.2345067,0.8144452931,,,,,,,,,,,
,,1.959603964,5.809880981,54.06973374,86.81682255,2.238451693,47.45160838,53.89889999,6.275341899,,,,,,,,,,,
,,7.413791041,6.215785436,29.18329772,61.62124732,30.80993355,71.17886583,41.76576946,10.93666874,,,,,,,,,,,
,,3.64526263,3.840403824,24.66195745,34.64519515,30.67020862,59.40397229,47.3871963,6.401727598,,,,,,,,,,,
,,0.07810800977,3.381359768,18.42323674,15.6896524,26.27423203,43.65167606,46.89434263,1.293851899,,,,,,,,,,,
,,0.008962565969,4.870159582,24.69872569,18.68684463,7.650054469,36.06900608,41.34186483,5.09217932,,,,,,,,,,,
,,0.2991245145,3.353831703,11.06218407,9.2032941,4.963211439,20.68110702,22.6199529,7.956482652,,,,,,,,,,,
,,0.09119189873,1.005476947,3.198216996,0.05666962438,31.74636062,18.53140975,26.39930982,7.454653204,,,,,,,,,,,
,,0.003491055712,2.245555718,7.508225182,2.950641515,89.77221304,13.03159888,7.260434527,3.989882323,,,,,,,,,,,
,,0.3212001534,0.001001645944,27.02608293,0.8125084501,84.172959,4.004684654,0.02266874983,1.44202866,,,,,,,,,,,
,,0.04286732669,1.226656696,41.43631918,18.3588203,48.80015653,0.03393331353,0.05946359527,1.762617243,,,,,,,,,,,
,,8.045813835,0.9048076093,14.6345644,61.54039107,18.43715497,9.415305013,10.09614041,2.31359708,,,,,,,,,,,
,,1.263831084,5.839379996,15.07990956,79.03506989,18.76274124,2.75236203,4.447459572,0.1935589745,,,,,,,,,,,
,,,,,,,,,,8457.647097,,,,,,,,,,
robbery/assault vs time,,,,,,,,,,,,,,,,,,,,
,224,442,666,,233.2889071,432.7110929,,0.3698581148,0.1994027812,,,,,,,,,,,
,241,379,620,,217.1758595,402.8241405,,2.613502592,1.409025961,,,,,,,,,,,
,234,372,606,,212.2718885,393.7281115,,2.22408551,1.199078291,,,,,,,,,,,
,188,279,467,,163.5824619,303.4175381,,3.64474382,1.965002322,,,,,,,,,,,
,209,209,418,,146.4185633,271.5814367,,26.74822186,14.42085389,,,,,,,,,,,
,118,209,327,,114.5427517,212.4572483,,0.1043502595,0.05625868715,,,,,,,,,,,
,80,173,253,,88.62176201,164.378238,,0.8387869808,0.4522178915,,,,,,,,,,,
,95,196,291,,101.9325405,189.0674595,,0.4714894527,0.2541956075,,,,,,,,,,,
,102,240,342,,119.7970064,222.2029936,,2.643917781,1.425423799,,,,,,,,,,,
,149,330,479,,167.7858656,311.2141344,,2.103328228,1.133974034,,,,,,,,,,,
,152,347,499,,174.7915385,324.2084615,,2.971849966,1.60222292,,,,,,,,,,,
,168,407,575,,201.4130955,373.5869045,,5.543010731,2.988420997,,,,,,,,,,,
,194,377,571,,200.0119609,370.9880391,,0.1807075625,0.09742544264,,,,,,,,,,,
,197,354,551,,193.006288,357.993712,,0.08263842362,0.04455311604,,,,,,,,,,,
,220,429,649,,227.3340852,421.6659148,,0.2366068648,0.1275626112,,,,,,,,,,,
,237,485,722,,252.9047912,469.0952088,,1.000227721,0.5392559512,,,,,,,,,,,
,232,490,722,,252.9047912,469.0952088,,1.727963685,0.9316025548,,,,,,,,,,,
,256,511,767,,268.6675552,498.3324448,,0.5972695676,0.3220078407,,,,,,,,,,,
,265,543,808,,283.0291846,524.9708154,,1.148473427,0.6191801298,,,,,,,,,,,
,334,573,907,,317.7072654,589.2927346,,0.8355276376,0.4504606714,,,,,,,,,,,
,364,535,899,,314.9049962,584.0950038,,7.654116076,4.126587933,,,,,,,,,,,
,363,575,938,,328.5660584,609.4339416,,3.608700004,1.945569906,,,,,,,,,,,
,278,569,847,,296.6902467,550.3097533,,1.177407505,0.634779451,,,,,,,,,,,
,225,482,707,,247.6505365,459.3494635,,2.071656344,1.116898671,,,,,,,,,,,
,5125,9506,14631,,,,,,,108.6604016,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
larceny/not larceny vs time,,,,,,,,,,,,,,,,,,,,
,1968,1821,3789,,2693.442683,1095.557317,,195.3882625,480.3647219,,,,,,,,,,,
,1292,1465,2757,,1959.836758,797.1632419,,227.5730025,559.4913464,,,,,,,,,,,
,1113,1333,2446,,1738.759779,707.2402211,,225.203795,553.6666173,,,,,,,,,,,
,1072,1159,2231,,1585.925211,645.0747888,,166.5394565,409.4395368,,,,,,,,,,,
,1084,1109,2193,,1558.91259,634.08741,,144.6790343,355.6953892,,,,,,,,,,,
,1151,1128,2279,,1620.046417,658.953583,,135.8013814,333.8695577,,,,,,,,,,,
,1349,1274,2623,,1864.581725,758.4182747,,142.5652262,350.498563,,,,,,,,,,,
,2179,1552,3731,,2652.212892,1078.787108,,84.43154855,207.5761195,,,,,,,,,,,
,3383,1750,5133,,3648.836445,1484.163555,,19.36754816,47.61538266,,,,,,,,,,,
,4341,1865,6206,,4411.587566,1794.412434,,1.129435712,2.776733181,,,,,,,,,,,
,6319,1965,8284,,5888.751434,2395.248566,,31.43515742,77.28376545,,,,,,,,,,,
,8013,2341,10354,,7360.228434,2993.771566,,57.89368098,142.3324083,,,,,,,,,,,
,7531,2255,9786,,6956.460832,2829.539168,,47.45160838,116.6604297,,,,,,,,,,,
,6806,1838,8644,,6144.660478,2499.339522,,71.17886583,174.9942174,,,,,,,,,,,
,7155,2034,9189,,6532.078335,2656.921665,,59.40397229,146.0454802,,,,,,,,,,,
,7197,2169,9366,,6657.900282,2708.099718,,43.65167606,107.318244,,,,,,,,,,,
,7327,2282,9609,,6830.638886,2778.361114,,36.06900608,88.6761459,,,,,,,,,,,
,7075,2354,9429,,6702.684364,2726.315636,,20.68110702,50.84478511,,,,,,,,,,,
,6634,2218,8852,,6292.519036,2559.480964,,18.53140975,45.55972492,,,,,,,,,,,
,6400,2206,8606,,6117.647856,2488.352144,,13.03159888,32.03836449,,,,,,,,,,,
,6056,2247,8303,,5902.257745,2400.742255,,4.004684654,9.84557212,,,,,,,,,,,
,5504,2258,7762,,5517.683321,2244.316679,,0.03393331353,0.08342551648,,,,,,,,,,,
,4494,2124,6618,,4704.46125,1913.53875,,9.415305013,23.14765644,,,,,,,,,,,
,3597,1605,5202,,3697.885679,1504.114321,,2.75236203,6.76671978,,,,,,,,,,,
,109040,44352,153392,,,,,,,6080.803966,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
homocide vs not homocide,,,,,,,,,,,,,,,,,,,,
,15,3774,3789,,6.941098623,3782.058901,,9.356716412,0.0171720994,,,,,,,,,,,
,12,2745,2757,,5.050569782,2751.94943,,9.562204353,0.01754922522,,,,,,,,,,,
